0.0 -1.3280254529959148
5.0 -1.3406838498678384
10.0 -1.3470736479666092
15.0 -1.3567355588783463
20.0 -1.3664917338237108
25.0 -1.3763440302667225
30.0 -1.382966571027216
35.0 -1.3896332623854053
40.0 -1.3997173814520312
45.0 -1.4099042267590243
50.0 -1.4167535686045991
55.0 -1.4236501476636594
60.0 -1.4271163556401458
65.0 -1.4375876555074412
70.0 -1.448169764837978
75.0 -1.4552872326068422
80.0 -1.4624557220854546
85.0 -1.4733057381095205
90.0 -1.480605040591132
95.0 -1.487958014896391
100.0 -1.4953654561742526
105.0 -1.5065805269943926
110.0 -1.5141277326297755
115.0 -1.5217323320149947
120.0 -1.529395204760564
